longitude,latitude,Indri_indri cloglog values
46.75,-21.4166666666667,2.8371013E-4
46.9166666666667,-19.25,9.887738E-6
48.0833333333333,-19.9166666666667,0.0018228614
48.0833333333333,-16.0833333333333,4.897551E-6
45.4166666666667,-22.5833333333333,8.314001E-8
46.25,-23.5833333333333,1.2604448E-4
49.4166666666667,-15.75,4.0785476E-4
59.5833333333333,-16.75,9.545698E-13
40.25,-13.4166666666667,1.0855109E-6
44.75,-18.4166666666667,2.2287424E-5
44.5833333333333,-20.5833333333333,1.0981233E-8
48.0833333333333,-20.0833333333333,0.0010164751
45.25,-18.5833333333333,2.3970674E-8
49.25,-11.9166666666667,1.8567038E-6
40.5833333333333,-15.25,9.590165E-8
45.25,-12.9166666666667,4.4057174E-6
43.75,-24.25,5.34982E-5
50.0833333333333,-14.4166666666667,1.3369656E-7
44.0833333333333,-17.5833333333333,6.706599E-6
49.9166666666667,-14.4166666666667,1.3492952E-5
45.75,-17.0833333333333,2.602387E-7
46.75,-20.0833333333333,6.257179E-5
46.4166666666667,-23.25,4.075345E-4
43.75,-24.0833333333333,7.0686125E-5
46.9166666666667,-24.9166666666667,4.6939512E-8
48.5833333333333,-14.0833333333333,3.745308E-5
48.0833333333333,-18.4166666666667,0.0025465216
45.0833333333333,-22.25,1.0666904E-8
46.0833333333333,-17.5833333333333,1.2230716E-7
47.4166666666667,-19.9166666666667,1.9290665E-4
40.25,-14.75,3.912636E-6
55.5833333333333,-21.25,3.8461963E-9
49.9166666666667,-16.25,3.1909247E-5
47.0833333333333,-15.5833333333333,1.5799305E-6
46.9166666666667,-22.25,1.527858E-5
45.9166666666667,-22.5833333333333,6.27115E-6
47.0833333333333,-16.4166666666667,1.322077E-7
45.0833333333333,-17.5833333333333,9.1298904E-7
44.0833333333333,-22.4166666666667,1.5341811E-7
49.4166666666667,-15.5833333333333,5.530835E-4
45.0833333333333,-21.5833333333333,1.6835234E-7
46.9166666666667,-21.25,3.764775E-4
44.5833333333333,-18.25,8.966978E-6
49.75,-16.9166666666667,2.8888453E-4
43.75,-22.9166666666667,5.2573746E-8
44.5833333333333,-18.75,1.902233E-7
45.25,-20.0833333333333,3.8871284E-9
47.4166666666667,-19.5833333333333,3.3617776E-5
47.0833333333333,-21.5833333333333,2.0198963E-4
46.25,-24.75,6.006061E-7
45.0833333333333,-16.0833333333333,4.411542E-6
45.9166666666667,-18.9166666666667,6.334177E-8
47.5833333333333,-23.9166666666667,2.8752442E-5
46.4166666666667,-18.9166666666667,9.531251E-7
43.75,-23.9166666666667,6.807432E-5
40.4166666666667,-10.25,1.8281048E-7
46.75,-24.0833333333333,1.3662346E-4
44.9166666666667,-21.4166666666667,3.2959257E-8
48.0833333333333,-17.25,3.6968495E-6
40.25,-13.25,1.2824003E-6
40.0833333333333,-14.25,7.656661E-6
43.5833333333333,-22.0833333333333,6.675126E-9
44.75,-21.25,9.86033E-9
44.5833333333333,-17.25,5.10535E-6
44.25,-17.4166666666667,7.0238434E-6
44.4166666666667,-24.0833333333333,2.5583231E-5
45.0833333333333,-16.5833333333333,3.1540685E-6
44.9166666666667,-20.0833333333333,6.459709E-9
40.0833333333333,-15.25,1.2701026E-6
57.25,-20.4166666666667,4.872075E-8
49.5833333333333,-17.0833333333333,1.6117916E-5
49.4166666666667,-17.4166666666667,9.295179E-6
47.0833333333333,-19.0833333333333,3.460206E-5
49.4166666666667,-17.5833333333333,6.6289585E-6
47.75,-19.5833333333333,1.6206066E-4
49.4166666666667,-16.9166666666667,1.09881265E-4
45.4166666666667,-25.4166666666667,5.0173994E-6
40.25,-13.0833333333333,1.0461218E-6
43.4166666666667,-21.5833333333333,5.375131E-8
45.9166666666667,-18.75,8.92688E-8
46.25,-23.25,5.760773E-4
50.0833333333333,-15.9166666666667,5.612542E-7
46.5833333333333,-19.4166666666667,1.701944E-6
48.25,-15.0833333333333,8.632874E-5
46.0833333333333,-23.75,3.700189E-6
43.9166666666667,-22.5833333333333,6.49659E-8
40.5833333333333,-12.5833333333333,3.298161E-7
49.75,-15.0833333333333,4.245587E-4
45.9166666666667,-18.5833333333333,8.1861025E-8
48.0833333333333,-18.5833333333333,3.691769E-4
43.4166666666667,-22.0833333333333,2.5865479E-8
44.5833333333333,-22.5833333333333,6.6159733E-10
44.9166666666667,-25.25,5.909644E-5
47.4166666666667,-23.4166666666667,7.879016E-4
49.25,-18.25,5.795471E-6
44.9166666666667,-21.25,9.79699E-9
44.9166666666667,-18.5833333333333,5.326978E-7
45.25,-19.0833333333333,9.891745E-10
44.5833333333333,-18.5833333333333,4.3750114E-7
47.25,-17.25,2.8139007E-6
49.25,-16.25,3.8661246E-4
46.75,-17.75,5.208175E-7
45.4166666666667,-19.25,1.6553049E-9
45.75,-23.0833333333333,2.1182893E-6
46.0833333333333,-24.0833333333333,5.8961217E-5
47.9166666666667,-15.5833333333333,1.2581099E-6
47.5833333333333,-21.0833333333333,0.0016216183
48.75,-15.0833333333333,1.1459392E-5
45.0833333333333,-17.0833333333333,2.3371854E-6
43.4166666666667,-21.4166666666667,7.309305E-8
45.4166666666667,-17.75,4.216397E-8
47.0833333333333,-24.5833333333333,2.055567E-5
49.4166666666667,-16.4166666666667,0.0012345728
49.5833333333333,-17.75,1.1820591E-5
49.4166666666667,-13.5833333333333,2.3467843E-5
46.9166666666667,-20.4166666666667,2.287693E-4
48.5833333333333,-15.4166666666667,6.276357E-4
47.5833333333333,-23.5833333333333,3.9640167E-5
