"","longitude","latitude","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"background",47.4166666666667,-24.25,23.5146732330322,11.4911231994629,63.6091041564941,255.682281494141,31.5391311645508,13.473913192749,18.0652179718018,26.2164859771729,21.8010864257812,26.2315216064453,20.0744571685791,1983,304,62,52.1543045043945,850,260,814,316
"background",45.75,-15.75,26.4826545715332,10.4894018173218,70.8223266601562,133.993637084961,32.8184776306152,18.0076084136963,14.8108692169189,27.3932971954346,24.8775367736816,27.6012687683105,24.5499992370605,1420,412,12,116.86937713623,973,44,633,46
"background",49.25,-12.75,24.1581249237061,9.90583324432373,70.7736434936523,136.881439208984,30.7304992675781,16.7339992523193,13.9965000152588,25.2954177856445,22.8956661224365,25.3826675415039,22.2330417633057,1421,344,17,104.974082946777,892,64,651,67
"background",45.75,-21.0833333333333,24.1114368438721,13.2594585418701,63.2125205993652,259.112823486328,33.6949996948242,12.7189998626709,20.9759998321533,26.4151248931885,20.4422912597656,26.5527496337891,20.4422912597656,1198,319,6,117.668518066406,835,18,681,18
"background",47.5833333333333,-23.4166666666667,23.3454990386963,9.7612829208374,59.709114074707,245.275405883789,30.5733852386475,14.2253227233887,16.3480625152588,26.0341510772705,21.6470279693604,26.0341510772705,20.1055545806885,2299,362,82,49.4325218200684,1000,312,1000,398
"background",45.0833333333333,-24.75,24.4244899749756,13.8167705535889,64.0317535400391,311.573760986328,33.703498840332,12.1254997253418,21.5779991149902,27.5913333892822,20.9459171295166,27.5913333892822,20.0934581756592,535,114,6,93.104736328125,329,23,329,34
"background",43.9166666666667,-23.5833333333333,24.8601779937744,14.6958122253418,65.6818084716797,314.190979003906,34.5587501525879,12.1844997406006,22.3742504119873,27.9638748168945,21.6245422363281,27.9804592132568,20.5767917633057,581,148,4,107.977577209473,388,16,335,18
"background",47.9166666666667,-21.75,23.0362491607666,8.63270854949951,58.7668838500977,234.711242675781,29.7057495117188,15.0159997940063,14.6897497177124,25.6841239929199,21.1744155883789,25.6841239929199,20.064208984375,2433,400,83,57.8195495605469,1157,291,1157,380
"background",44.0833333333333,-22.25,23.4529895782471,13.6900205612183,64.2806930541992,274.049499511719,33.0595016479492,11.7622499465942,21.2972526550293,26.1216659545898,19.6269989013672,26.1216659545898,19.6269989013672,816,209,3,111.946983337402,550,12,550,12
"background",49.0833333333333,-15.75,21.5173645019531,11.2418956756592,67.9309692382812,227.727752685547,29.5792503356934,13.0302495956421,16.548999786377,23.771541595459,18.4555835723877,23.771541595459,18.4555835723877,1535,341,22,96.6289901733398,921,86,921,86
"background",45.4166666666667,-16.75,25.0310001373291,12.4219160079956,69.9382934570312,151.229965209961,32.8202514648438,15.0590000152588,17.761251449585,25.9789581298828,22.8002910614014,26.3091659545898,22.8002910614014,1435,410,2,117.778114318848,967,12,743,12
"background",45.0833333333333,-24.9166666666667,24.2339172363281,13.4372081756592,64.0118560791016,310.087860107422,33.3942489624023,12.4025001525879,20.9917488098145,27.4528331756592,20.867166519165,27.4528331756592,20.0077075958252,487,102,6,89.9590377807617,294,24,294,34
"background",45.5833333333333,-16.5833333333333,25.9506149291992,12.4322290420532,69.7352600097656,150.871185302734,33.747501373291,15.919750213623,17.827751159668,26.8227500915527,24.1222076416016,27.2826251983643,23.7274589538574,1430,425,2,122.774116516113,1000,12,339,12
"background",49.75,-12.9166666666667,26.1202373504639,8.86131763458252,72.4978866577148,135.622619628906,31.7068862915039,19.4840221405029,12.222864151001,27.4290637969971,24.9032135009766,27.4290637969971,24.3239212036133,1449,269,43,69.2432861328125,727,151,727,166
"background",45.75,-17.75,24.2354068756104,12.987021446228,67.1971206665039,179.759887695312,32.810001373291,13.4832496643066,19.3267517089844,25.4325828552246,21.5959587097168,25.8563747406006,21.5959587097168,1606,383,4,107.09300994873,997,18,505,18
"background",48.4166666666667,-16.4166666666667,20.6604061126709,12.4487285614014,68.4936981201172,226.609603881836,29.3034992218018,11.1284999847412,18.1749992370605,22.8702926635742,18.4136657714844,22.8702926635742,17.6445827484131,1228,333,5,118.783683776855,829,22,829,29
"background",46.0833333333333,-17.25,26.0994892120361,12.8302297592163,69.627326965332,152.841979980469,34.5137519836426,16.0867500305176,18.427001953125,26.8719177246094,24.1754589080811,27.5994167327881,23.8653755187988,1576,439,2,117.33031463623,1044,11,440,12
"background",49.5833333333333,-15.9166666666667,22.3750305175781,8.92264556884766,63.7115669250488,222.000289916992,29.3972492218018,15.3924999237061,14.0047492980957,24.8693332672119,21.532958984375,24.8693332672119,19.5197086334229,2340,346,71,53.3702812194824,1030,264,1030,335
"background",46.4166666666667,-17.75,23.9102401733398,13.1840209960938,68.8253936767578,170.726486206055,32.6787490844727,13.5229997634888,19.1557502746582,25.0746669769287,21.4079170227051,25.4712085723877,21.4079170227051,1677,410,3,110.981338500977,1066,13,528,13
"background",46.4166666666667,-25.25,23.8952083587646,13.4479169845581,66.3112258911133,294.732055664062,33.1049995422363,12.8249998092651,20.2799987792969,27.1216659545898,21.8266658782959,27.1641674041748,20.0691661834717,566,85,19,50.6446990966797,245,68,218,109
